Outbound: Paris ➜ Barcelona,Wednesday 01 August,-,-,-
Outbound: Paris ➜ Barcelona,Saturday 18 August,15:20 ➜ 07:55,16h35, 1 change,€67.98
Outbound: Paris ➜ Barcelona,Saturday 18 August,16:00 ➜ 08:10,16h10, 1 change,€67.98
Outbound: Paris ➜ Barcelona,Saturday 18 August,16:00 ➜ 23:20,31h20, 2 changes,€110.00
Outbound: Paris ➜ Barcelona,Saturday 18 August,16:07 ➜ 22:44,6h37, 0 changes,€109.00
Outbound: Paris ➜ Barcelona,Sunday 19 August,07:15 ➜ 13:34,6h19, 0 changes,€129.00
Outbound: Paris ➜ Barcelona,Sunday 19 August,07:15 ➜ 19:31,12h16, 1 change,€99.99
Outbound: Paris ➜ Barcelona,Sunday 19 August,10:07 ➜ 16:34,6h27, 0 changes,€139.00

Outbound: Paris ➜ Barcelona,Sunday 19 August,10:59 ➜ 19:31,8h32, 1 change,€125.00
Outbound: Paris ➜ Barcelona,Sunday 19 August,13:15 ➜ 06:15,17h00, 1 change,€79.98
Outbound: Paris ➜ Barcelona,Sunday 19 August,14:00 ➜ 02:05,36h05, 2 changes,€110.00
Outbound: Paris ➜ Barcelona,Sunday 19 August,14:07 ➜ 20:34,6h27, 0 changes,€109.00
Outbound: Paris ➜ Barcelona,Monday 20 August,07:00 ➜ 03:00,20h00, 1 change,€64.00
Outbound: Paris ➜ Barcelona,Monday 20 August,07:15 ➜ 13:34,6h19, 0 changes,€129.00
Outbound: Paris ➜ Barcelona,Monday 20 August,07:15 ➜ 19:31,12h16, 1 change,€83.99
Outbound: Paris ➜ Barcelona,Monday 20 August,08:00 ➜ 02:40,18h40, 1 change,€55.00
Outbound: Paris ➜ Barcelona,Monday 20 August,09:00 ➜ 09:45,24h45, 1 change,€70.80
Outbound: Paris ➜ Barcelona,Monday 20 August,10:00 ➜ 03:00,17h00, 1 change,€62.00
Outbound: Paris ➜ Barcelona,Monday 20 August,10:07 ➜ 16:34,6h27, 0 changes,€129.00
Outbound: Paris ➜ Barcelona,Monday 20 August,10:59 ➜ 19:31,8h32, 1 change,€130.00
Outbound: Paris ➜ Barcelona,Monday 20 August,12:15 ➜ 08:25,20h10, 0 changes,€78.00
Outbound: Paris ➜ Barcelona,Monday 20 August,12:30 ➜ 10:15,21h45, 1 change,€76.60
Outbound: Paris ➜ Barcelona,Monday 20 August,13:00 ➜ 06:15,17h15, 1 change,€53.98
Outbound: Paris ➜ Barcelona,Monday 20 August,13:00 ➜ 10:15,21h15, 1 change,€56.20
Outbound: Paris ➜ Barcelona,Monday 20 August,14:07 ➜ 20:34,6h27, 0 changes,€109.00
Outbound: Paris ➜ Barcelona,Monday 20 August,14:30 ➜ 05:45,15h15, 0 changes,€60.00
